handle,target
@rezasilalahi,akbarfaizal68 nagara_inst
@Andi_Manik,sutanmangara
@ArmaZulfikar,sutanmangara
@rakyatjelitacom,seruanhl ch_chotimah2
@ahmadeffendi666,NOTASLIMBOY
@ariiiiiss,BangPino__ aniesbaswedan
@Agai569357175,kampium2024GP aniesbaswedan
@SunnahRasulLove,pengarang_sajak
@Aditia00024961,msaid_didu
@Ach_Faizal,putrisakera
@KarinaNadila18,DrEvaChaniago
@mas_alku,Dennysiregar7
@kideman43600840,ivanazhar1 ganjarpranowo prabowo
@ferryberita,Yom_N_Friends
@dhany_e09,Jhonkosmik
@AkunPurba_,Gerindra
@BangJiih85,AliZain435h JazuliJuwaini
@SangkalaSangka6,OposisiCerdas
@PapaWinarto,Tjel0up aniesbaswedan
@ariiiiiss,BangPino__
@abdul1dul,KompasTV
@AstutikBertha,OcongBoys
@sohibbone,OposisiCerdas
@ViantyTJP,TehKitaAja FemmyManroe1
@nizaradipati,AgusYudhoyono
@AryeMataram,Muhadzami AgusYudhoyono
@Ardhi_Gatra,PDemokrat
@aniblogsan52394,RagilSemar
@Dipri271,JazuliJuwaini
@bangkit20214251,jansen_jsp
@BiS_manta62924,abwnews_
@pekei_simon,CNNIndonesia
@Ardhi_Gatra,PDemokrat
@proletarsusah,asumsico
@kri_tik_us,cobeh2022
@rosandi_irwan,sobat_anies cakimiNOW
@Doni13587681,awemany
@BangJiih85,OposisiCerdas
@ANDALASHUSNI,cobeh2022
@dody_priyono99,BosPurwa aniesbaswedan
@KomorebiIn87286,RagilSemar
@hendar_djamain,hendar_djamain
@PDPerlakbrat,DPP_PKB cakimiNOW
@ArmaZulfikar,SalamSantun_
@klappykoe,MinmonPS7 sospolkw
@Uwa_Dena,KompasTV
@Kastara48,ahmadfaisal86 DadanKu23612342 YanHarahap
@JoharFifi,jansen_jsp aniesbaswedan
@hendar_djamain,tifsembiring mahyeldi_sp
@jiuliong30,kumparan
@tubaguswardana_,PDemokrat
@an666e,msaid_didu DedyNad_id
@CilacapDemokrat,PDemokrat
@Tjel0up,aniesbaswedan
@bukupembaharu,Muhammadiyah
@Tjel0up,aniesbaswedan
@espete812,mbahjhojho
@AbdulAgusti,AbdulAgusti
@ach_ripang,HusinShihab
@aldoprrayoga,aldoprrayoga
@wenas_s,Gambiro7 sena_soetta musniumar
@aldoprrayoga,aldoprrayoga
@ANIES_90,kimgyuminn
@Kastara48,ahmadfaisal86 YanHarahap
@HFaang,WAHYU_UNIFORM AgusYudhoyono
@wenas_s,musniumar
@SolitaireMawar,ajengcute16__
@AlditioHermawan,AlditioHermawan
@AlditioHermawan,AlditioHermawan
@AKUNBAR64087273,Yom_N_Friends KusumaW57427580
@Andi_Manik,RomziTrilaksana ruhutsitompul
@za10895528,jansen_jsp aniesbaswedan
@akuozzie,Dennysiregar7 cakimiNOW KPK_RI
@BirriMuhammadi,savicali
@WahyudiL4,oetomo_ian yusuf_dumdum
@HRI0668JKT,ajengcute16__
@changamar3,AgusYudhoyono
@syaiful_wakni,DrEvaChaniago
@triliuner007,Tan_Mar3M
@Omm3naja,ajengcute16__
@SantaPradana,marlina_idha
@adnansaefy,SeputarAHY NasDem aniesbaswedan
@pikir_santuy,adearmando61
@triesno86,msaid_didu Golkar5
@jenggo_putra,jenggo_putra
@bali_prabowo,bali_prabowo
@habibana1991,AprizalRiduan jokowi
@sasbudiarjo,AgusYudhoyono
@pangeransky10,Yom_N_Friends
@S0BATANIES,SinagaYusal1 ajengcute16__
@yoko_at,achokill Tan_Mar3M
@syaiful_wakni,OposisiCerdas
@svmmerdoss,berrielust
@putraaudi21,AgusYudhoyono
@kangmase27,bengkeldodo PaPa_Bowo2024
@mjannah579,aniesbaswedan cakimiNOW
@anggiloktavia,anggiloktavia
@anggiloktavia,anggiloktavia
@PakBudi31571035,didik_lp jansen_jsp aniesbaswedan
@Muhadzami,AryeMataram AgusYudhoyono
@Irwandiwinnara2,aniesbaswedan cakiminnow Mursyidan10 voiceofpkb DPP_PKB poel_saiful Juliansyah0770
@oza_blazer,aniesbaswedan cakiminnow Mursyidan10 voiceofpkb DPP_PKB poel_saiful Juliansyah0770
@za10895528,ajengcute16__
@darah_tigo,ILCTalkshow
@za10895528,AgusYudhoyono
@tomyr71806,tvOneNews
@Indra070318,msaid_didu
@manukahoneyland,democrazymedia
