username,handle,postDate,responding,retweets,likes
#TeruslahBergerak,@rezasilalahi,2023-09-08T14:59:33.000Z,"Replying to 
@akbarfaizal68
 and 
@nagara_inst",,
solichin jamaludin,@wakcis,2023-09-08T14:59:08.000Z,"Anies Baswedan bilang, pembangunan tak perlu otot. Demikian disampaikan Anies menyindir kepala BP Batam, yg merupakan ketua Nasdem Kepri.",,
Andi Manik,@Andi_Manik,2023-09-08T14:58:49.000Z,"Replying to 
@sutanmangara",,
Zulfikar Arma x,@ArmaZulfikar,2023-09-08T14:58:36.000Z,"Replying to 
@sutanmangara",,
rakyatjelita.com,@rakyatjelitacom,2023-09-08T14:58:24.000Z,"Replying to 
@seruanhl
 @ch_chotimah2
 and 9 others",,
Kota-kota Indonesia: Pengantar untuk Orang Banyak,@mkusumawijaya,2023-09-08T14:58:16.000Z,"Hibahkan Hotel Untuk Posko Induk Pemenangan, MRR: Diresmikan Anies 24 September - Fokusatu",,
Buruh Upah Murah,@ahmadeffendi666,2023-09-08T14:58:02.000Z,"Replying to 
@NOTASLIMBOY",,
Black spider,@ariiiiiss,2023-09-08T14:57:44.000Z,"Replying to 
@BangPino__
 and 
@aniesbaswedan",,
Rustan Sello,@Rustansello,2023-09-08T14:55:29.000Z,"Ketika Anies ingin memilih AHY sbg Cawapres, pihak Nasdem menyebutkan Anies berkhianat.

PD Bongkar Fakta",,
Agai,@Agai569357175,2023-09-08T14:55:18.000Z,"Replying to 
@kampium2024GP
 and 
@aniesbaswedan",,
Pecinta Goodberner Anies Baswedan,@SunnahRasulLove,2023-09-08T14:54:35.000Z,"Replying to 
@pengarang_sajak",,
manx cactus,@Aditia00024961,2023-09-08T14:53:42.000Z,"Replying to 
@msaid_didu",,
Ach_Faizal,@Ach_Faizal,2023-09-08T14:53:42.000Z,"Replying to 
@putrisakera",,
Anies Presiden 2024,@AKasuke327,2023-09-08T14:53:40.000Z,,,
Trousie,@cheapdoughnuts,2023-09-08T14:53:26.000Z,I’d go for pak anies moodboard,,
cintaNKRI,@KarinaNadila18,2023-09-08T14:51:26.000Z,"Replying to 
@DrEvaChaniago",,
Orang biasa,@mas_alku,2023-09-08T14:51:18.000Z,"Replying to 
@Dennysiregar7",,
"Ardhi Gatra Anggoro, S.E., Ak.",@Ardhi_Gatra,2023-09-08T14:51:07.000Z,"Ketika Anies ingin memilih AHY sbg Cawapres, pihak Nasdem menyebutkan Anies berkhianat.

PD Bongkar Fakta",,
𝓗𝓪𝓫𝓲𝓫𝓪𝓷𝓪𝓷𝓪™,@rizieqdivist,2023-09-08T14:50:56.000Z,"Anies mbatin:
""Wah, ente belum pernah ngerasain jurus andalan ane ya? Awas, ntar ane khianati, baru tau rasa ente!""",,
Bibin,@awestrucky,2023-09-08T14:50:13.000Z,"tag yourself, im pak anies",,
Imperium,@sumpitmerah,2023-09-08T14:50:05.000Z,sumpit.. Anies dan Anas Urbaningrum Dijadwalkan Berkunjung ke Sumatera ... - MSN ..merah,,
