source,target
@rezasilalahi,@akbarfaizal68
@rezasilalahi,@nagara_inst
@Andi_Manik,@sutanmangara
@ArmaZulfikar,@sutanmangara
@rakyatjelitacom,@seruanhl
@rakyatjelitacom,@ch_chotimah2
@ahmadeffendi666,@NOTASLIMBOY
@ariiiiiss,@BangPino__
@ariiiiiss,@aniesbaswedan
@Agai569357175,@kampium2024GP
@Agai569357175,@aniesbaswedan
@SunnahRasulLove,@pengarang_sajak
@Aditia00024961,@msaid_didu
@Ach_Faizal,@putrisakera
@KarinaNadila18,@DrEvaChaniago
@mas_alku,@Dennysiregar7
@kideman43600840,@ivanazhar1
@kideman43600840,@ganjarpranowo
@kideman43600840,@prabowo
@ferryberita,@Yom_N_Friends
@dhany_e09,@Jhonkosmik
@AkunPurba_,@Gerindra
@BangJiih85,@AliZain435h
@BangJiih85,@JazuliJuwaini
@SangkalaSangka6,@OposisiCerdas
@PapaWinarto,@Tjel0up
@PapaWinarto,@aniesbaswedan
@ariiiiiss,@BangPino__
@abdul1dul,@KompasTV
@AstutikBertha,@OcongBoys
@sohibbone,@OposisiCerdas
@ViantyTJP,@TehKitaAja
@ViantyTJP,@FemmyManroe1
@nizaradipati,@AgusYudhoyono
@AryeMataram,@Muhadzami
@AryeMataram,@AgusYudhoyono
@Ardhi_Gatra,@PDemokrat
@aniblogsan52394,@RagilSemar
@Dipri271,@JazuliJuwaini
@bangkit20214251,@jansen_jsp
@BiS_manta62924,@abwnews_
@pekei_simon,@CNNIndonesia
@Ardhi_Gatra,@PDemokrat
@proletarsusah,@asumsico
@kri_tik_us,@cobeh2022
@rosandi_irwan,@sobat_anies
@rosandi_irwan,@cakimiNOW
@Doni13587681,@awemany
@BangJiih85,@OposisiCerdas
@ANDALASHUSNI,@cobeh2022
@dody_priyono99,@BosPurwa
@dody_priyono99,@aniesbaswedan
@KomorebiIn87286,@RagilSemar
@hendar_djamain,@hendar_djamain
@PDPerlakbrat,@DPP_PKB
@PDPerlakbrat,@cakimiNOW
@ArmaZulfikar,@SalamSantun_
@klappykoe,@MinmonPS7
@klappykoe,@sospolkw
@Uwa_Dena,@KompasTV
@Kastara48,@ahmadfaisal86
@Kastara48,@DadanKu23612342
@Kastara48,@YanHarahap
@JoharFifi,@jansen_jsp
@JoharFifi,@aniesbaswedan
@hendar_djamain,@tifsembiring
@hendar_djamain,@mahyeldi_sp
@jiuliong30,@kumparan
@tubaguswardana_,@PDemokrat
@an666e,@msaid_didu
@an666e,@DedyNad_id
@CilacapDemokrat,@PDemokrat
@Tjel0up,@aniesbaswedan
@bukupembaharu,@Muhammadiyah
@Tjel0up,@aniesbaswedan
@espete812,@mbahjhojho
@AbdulAgusti,@AbdulAgusti
@ach_ripang,@HusinShihab
@aldoprrayoga,@aldoprrayoga
@wenas_s,@Gambiro7
@wenas_s,@sena_soetta
@wenas_s,@musniumar
@aldoprrayoga,@aldoprrayoga
@ANIES_90,@kimgyuminn
@Kastara48,@ahmadfaisal86
@Kastara48,@YanHarahap
@HFaang,@WAHYU_UNIFORM
@HFaang,@AgusYudhoyono
@wenas_s,@musniumar
@SolitaireMawar,@ajengcute16__
@AlditioHermawan,@AlditioHermawan
@AlditioHermawan,@AlditioHermawan
@AKUNBAR64087273,@Yom_N_Friends
@AKUNBAR64087273,@KusumaW57427580
@Andi_Manik,@RomziTrilaksana
@Andi_Manik,@ruhutsitompul
@za10895528,@jansen_jsp
@za10895528,@aniesbaswedan
@akuozzie,@Dennysiregar7
@akuozzie,@cakimiNOW
@akuozzie,@KPK_RI
@BirriMuhammadi,@savicali
@WahyudiL4,@oetomo_ian
@WahyudiL4,@yusuf_dumdum
@HRI0668JKT,@ajengcute16__
@changamar3,@AgusYudhoyono
@syaiful_wakni,@DrEvaChaniago
@triliuner007,@Tan_Mar3M
@Omm3naja,@ajengcute16__
@SantaPradana,@marlina_idha
@adnansaefy,@SeputarAHY
@adnansaefy,@NasDem
@adnansaefy,@aniesbaswedan
@pikir_santuy,@adearmando61
@triesno86,@msaid_didu
@triesno86,@Golkar5
@jenggo_putra,@jenggo_putra
@bali_prabowo,@bali_prabowo
@habibana1991,@AprizalRiduan
@habibana1991,@jokowi
@sasbudiarjo,@AgusYudhoyono
@pangeransky10,@Yom_N_Friends
@S0BATANIES,@SinagaYusal1
@S0BATANIES,@ajengcute16__
@yoko_at,@achokill
@yoko_at,@Tan_Mar3M
@syaiful_wakni,@OposisiCerdas
@svmmerdoss,@berrielust
@putraaudi21,@AgusYudhoyono
@kangmase27,@bengkeldodo
@kangmase27,@PaPa_Bowo2024
@mjannah579,@aniesbaswedan
@mjannah579,@cakimiNOW
@anggiloktavia,@anggiloktavia
@anggiloktavia,@anggiloktavia
@PakBudi31571035,@didik_lp
@PakBudi31571035,@jansen_jsp
@PakBudi31571035,@aniesbaswedan
@Muhadzami,@AryeMataram
@Muhadzami,@AgusYudhoyono
@Irwandiwinnara2,@aniesbaswedan
@Irwandiwinnara2,@cakiminnow
@Irwandiwinnara2,@Mursyidan10
@Irwandiwinnara2,@voiceofpkb
@Irwandiwinnara2,@DPP_PKB
@Irwandiwinnara2,@poel_saiful
@Irwandiwinnara2,@Juliansyah0770
@oza_blazer,@aniesbaswedan
@oza_blazer,@cakiminnow
@oza_blazer,@Mursyidan10
@oza_blazer,@voiceofpkb
@oza_blazer,@DPP_PKB
@oza_blazer,@poel_saiful
@oza_blazer,@Juliansyah0770
@za10895528,@ajengcute16__
@darah_tigo,@ILCTalkshow
@za10895528,@AgusYudhoyono
@tomyr71806,@tvOneNews
@Indra070318,@msaid_didu
@manukahoneyland,@democrazymedia
@Amirmahmudsir,@jansen_jsp
@hardi_hardiman2,@abwnews_
@Jayabay19479190,@EllyKoro
@Jayabay19479190,@Berty69968038
@KayaSakti,@tvOneNews
lestari040270@gmail.com,@cakiminNOW
