username,handle,postDate,responding,retweets,likes
Dedek Prayudi - Uki,@Uki23,2024-04-02T20:34:50.000Z,"Salut sama pak 
@prabowo
 dan 
@Gerindra
. Mereka menang Pilpres tapi gak menang Pileg. Mereka gak minta pemilu diulang baik Pilpres maupun Pileg. Pak Ganjar dengan PDIP kalah Pilpres tapi menang Pileg. Minta Pilpres diulang tapi Pileg enggak. Lawak ",,
cakratb,@cakratb,2024-04-02T20:30:01.000Z,"Membalas 
@aniesbaswedan
 dan 
@NasDem",,
santoz,@santoz92725,2024-04-02T20:28:13.000Z,"Membalas 
@PDI_Perjuangan",,
fandi,@Fandi03_,2024-04-02T20:28:09.000Z,"Membalas 
@KompasTV",,
Noer Bambang Saharsojo,@NSaharsojo27036,2024-04-02T20:27:12.000Z,"Membalas 
@Piyusaja2",,
Lembayung Senja,@Lembayungsyahdu,2024-04-02T20:22:51.000Z,"Serangan ke Gaza memantul ke Turki?

Jurnalis Turki Ragıp Soulu mencatat dalam artikelnya hari ini bahwa hasil pemilu kemarin terutama disebabkan oleh keinginan kaum konservatif Turki untuk “menghukum” pemerintah karena kurangnya perlawanan terhadap Israel dan kegagalan…
Tampilkan lebih banyak",1,1
LIPUTAN6,@liputan6dotcom,2024-04-02T20:17:34.000Z,Menko Hadi Apresiasi TNI-Polri Berhasil Jaga Kondusifitas Selama Pemilu 2024 http://dlvr.it/T4zM12 #News,,
ivan_tranquil,@ivan_tranquil,2024-04-02T20:15:32.000Z,"Membalas 
@kumparan",,
Maman Bakhjatul Anam,@Bakhjatul,2024-04-02T20:15:25.000Z,"Membalas 
@Fahrihamzah",,
Nadif,@nadifaja,2024-04-02T20:14:52.000Z,"Membalas 
@NasDem
 dan 
@adityawilly",,
★ za,@qb3lk,2024-04-02T20:12:10.000Z,"Membalas 
@tanyakanrl",,
EDI,@EDI220141978351,2024-04-02T20:12:05.000Z,"Membalas 
@Fahrihamzah",,
𝔹𝕝𝕒𝕟𝕜!,@blank0429,2024-04-02T19:58:53.000Z,"Sudah ada data BPS, BRIN & BMKG yg simpulkan Elnino reda namun 'Bantuan El-nino' tetap IKUTI JADWAL PEMILU

DITAMPAR lg fakta PASKA kampanye banyak Musibah di Jateng (Banjir akibat Tanggul jebol) tapi bansos ga kunjung tiba

Masih ngerasa Bansosnya tulus?
 https://youtu.be/nxdWgGrfpYw",7,8
Lembayung Senja,@Lembayungsyahdu,2024-04-02T19:58:22.000Z,"Tentang pemilu di Turki 

 Jurnalis Inggris-Turki Michael Serjan Daventry: “Selama bertahun-tahun diyakini bahwa hanya partai berhaluan tengah yang dapat merugikan AK Parti yang berkuasa. Mungkin kita sekarang menyaksikan pemilu yang pukulannya bukan dari pusat, tapi dari…
Tampilkan lebih banyak",,1
SipiRock,@SutanSi27405740,2024-04-02T19:57:12.000Z,"Membalas 
@xquitavee
 dan 
@jokowi",,
@김아린준,@김아린준,2024-04-02T19:55:21.000Z,"Membalas 
@bengkeldodo",,
nure nuna,@NureNuna,2024-04-02T19:53:21.000Z,"Membalas 
@NureNuna
 @gilang_ahm31272
 dan 
@officialMKRI",,
Mahesa14,@Best_Arek,2024-04-02T19:52:39.000Z,"Membalas 
@realfedinuril
 @PDI_Perjuangan
  dan 3 lainnya",,
Moh Aak Alkaromah,@moh_aak,2024-04-02T19:52:30.000Z,"Membalas 
@BungkusTukang",,1
Bahera Ananda,@bahera_ananda,2024-04-02T19:49:20.000Z,"Membalas 
@agnessintiaa",,
au au rel,@peonyree,2024-04-02T19:49:10.000Z,"Membalas 
@estdolle",,
cah ndol,@ADarmantyo,2024-04-02T19:47:28.000Z,"Membalas 
@Masmattunyar
 dan 
@siregar_elang",,
mooonnnaa,@cl0user,2024-04-02T19:42:31.000Z,bjrottt anak 16 tahun nyalahin gua pemilu milih a word,,
David Herman,@david_herman13,2024-04-02T19:38:33.000Z,"Membalas 
@agnessintiaa",,
pemburu ekor lele,@witawib,2024-04-02T19:36:57.000Z,KITA BANTAI DI PEMILU 2029  tapi akankah pemilu tetap hadir di tahun 2029  (the concern is concerning),,
oborpolo,@oborpolo1,2024-04-02T19:28:58.000Z,"Membalas 
@CNNIndonesia",,
fjrmaa,@Mrbengong_,2024-04-02T19:28:45.000Z,"Membalas 
@hendra_misni
 dan 
@kumparan",,
BANJINGAN TOLOL,@JAGASATERU2,2024-04-02T19:28:24.000Z,"Membalas 
@geloraco",,
Bambang Tri,@Bambang24431446,2024-04-02T19:27:54.000Z,"Membalas 
@Dennysiregar7
 dan 
@officialMKRI",,
𝗙𝗥𝗘𝗘𝗗𝗢𝗠𝗟𝗔𝗡𝗗 3131,@Freedomland3l3l,2024-04-02T19:23:27.000Z,"Pertemuan Capres Prabowo dan Xi Jinping tidak bisa dibilang resmi sebab Prabowo faktanya blom resmi dilantik oleh MPR/DPR dan masih dalam proses persidangan gugatan sengketa Pemilu, PHPU di MK, dimana kubu 02  bisa terancam di diskualifikasi.

Apa pun hasil perjanjiannya Prabowo…
Tampilkan lebih banyak",5,7
Fatih,@Fatih60330865,2024-04-02T19:23:08.000Z,"Membalas 
@PUTRY_NUSANTARA",,
ayin,@aphelionie,2024-04-02T19:22:48.000Z,"Membalas 
@_PutihHitam
 @roundhatboy
 dan 
@ayyiakim",,
Mastani,@Mastani679554,2024-04-02T19:20:02.000Z,"Membalas 
@HAnjasputri97",,
DONESIA RINI,@DonesiaRini,2024-04-02T19:19:48.000Z,"Membalas 
@Ciariaaa
 @Prihartanto_
 dan 
@LOVE_UM4M4",,
Because I see,@cozisee,2024-04-02T19:18:56.000Z,"Justru kami merasa terhina dan dibodohi serta dicolok mata disiang hari saat ada orang yg mengatakan Pemilu berjalan wajar dan normal saat seorang Presiden terang2an mengaku cawe2 dan memang sangat terasa dan terlihat.
Benar2 menghina akal sehat. semoga Allah menangkan kebenaran.",1,
ERA.id,@eradotid,2024-04-02T19:06:01.000Z,"Disebut Menang Pemilu karena Bansos, Gibran: Dibuktikan Saja di MK",1,
erik suhendra,@eriksuhendra4,2024-04-02T19:04:44.000Z,"Membalas 
@gilang_ahm31272
 @hendra_misni
 dan 
@Yusrilihza_Mhd",,
mpus,@badak55555,2024-04-02T18:59:30.000Z,"Membalas 
@tijabar",,
Hayohayo,@Hayohayo15,2024-04-02T18:56:25.000Z,"Membalas 
@Hayohayo15",,
(ゝω・´★),@shezhnaya,2024-04-02T18:55:53.000Z,WKSKQKAKAKK kalau ada orang yang opininya jelek liat aja kemarin pemilu pilih siapa ,,
Moh Aak Alkaromah,@moh_aak,2024-04-02T18:55:00.000Z,"Membalas 
@Megatop99
 dan 
@Fahrihamzah",,1
naa - loker wfh on pinned,@idolletes,2024-04-02T18:37:00.000Z,#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney+ viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud r,,1
Gus fajar,@kenjipratama_,2024-04-02T18:36:30.000Z,"Membalas 
@SETYAKI22965702",,
umbulewa,@umbulewa77,2024-04-02T18:36:13.000Z,"Hasil gugatan di MK sudah diketahui, seperti PEMILU sudah tahu pemenangnya sebelum pencoblosan.",,3
Den Bagus,@DenBagus91276,2024-04-02T18:36:08.000Z,Rakyat pasti setuju dan mendukung kalo kapolri hadir jadi saksi di MK terkait kecurangan PEMILU,,1
SEMUTBANDEL,@Vickyone777,2024-04-02T18:33:41.000Z,"Membalas 
@_Kara_TV
 @whahahi
 dan 
@LexWu_13",,
Andi Muhammad Faizal,@AndifaizalAbd,2024-04-02T18:31:55.000Z,"Membalas 
@blank0429
 @syeifm
 dan 
@KPU_ID",,1
Rangkayo Mudo,@RangkayoMudo14,2024-04-02T18:31:11.000Z,"Membalas 
@EL_Mascotte
 @aniesbaswedan
  dan 9 lainnya",,
Supaidaman,@Supaidaman18,2024-04-02T18:30:18.000Z,"Kalau ada parpol yang pemilu janji ""kami berada di pihak rakyat"" tau tau ngomong gini, mending bubar aja. Munafik banget. Bangga banget hidup dari duit pajak.",,
mfathe09,@mfathe09,2024-04-02T18:30:08.000Z,Memangnya bisa boikot pemilu bisa” ditinggal sbg peserta bahkan dicaci maki masyarakat,,
Rangkayo Mudo,@RangkayoMudo14,2024-04-02T18:26:45.000Z,"Membalas 
@EL_Mascotte
 @aniesbaswedan
  dan 9 lainnya",,
vanzketze,@vanzketze53668,2024-04-02T18:24:42.000Z,"Membalas 
@proclaro_lover",,
Tribun Rakyat,@tribun_rakyat,2024-04-02T18:23:44.000Z,"Hoaks & Kampanye Hitam Pemilu: Suasana 2024 Lebih Baik Ketimbang Pemilu Sebelumnya, Bersyukur Politik SARA Bisa Dihindari
#Pemilu2024 #MahkamahKonstitusi #RekonsiliasiNasional #Repdem #AbrahamLeoTanditasik

https://youtu.be/w2kXnEl1nAg",,
Moh Aak Alkaromah,@moh_aak,2024-04-02T18:18:45.000Z,"Membalas 
@MarahIchsan",,1
Zeracnovic,@zeracnovic,2024-04-02T18:16:30.000Z,"Membalas 
@ngurahsaka",,
angel.,@alsuratna,2024-04-02T18:12:35.000Z,"Speaking of ijazah palsu presiden, gue juga sebenernya penasaran sih kebenarannya. Karena 2 capres pemilu tahun ini satu almet ma pres menjabat, tapi ko kualitas public speaking-nya beda jauh bgt gila. Itu baru dari satu aspek ",,
Kepla Batu,@BatuKepla,2024-04-02T18:08:40.000Z,"Membalas 
@Aryprasetyo85",,2
*₱urwokert°_⅒*,@Arolumb1102,2024-04-02T18:08:24.000Z,"Membalas 
@Simbok_Dharmi
 dan 
@PDI_Perjuangan",,1
Nico Simanjuntak,@Simanjunta9Nico,2024-04-02T18:07:38.000Z,"Sidang PHPU untuk Pertegas Keterlibatan Jokowi dalam Kecurangan Pemilu 2024.

Masyarakat akan semakin terbuka dan sadar jika pencalonan Gibran Rakabuming Raka sebagai cawapres telah melanggar etika berdemokrasi.

https://kbanews.com/hot-news/sidang-phpu-untuk-pertegas-keterlibatan-jokowi-dalam-kecurangan-pemilu-2024/…
@BMultinovic
 @choymarkochoy
 @STresnowati1",,1
Nico Simanjuntak,@Simanjunta9Nico,2024-04-02T18:05:38.000Z,"Sidang PHPU, Emrus Sihombing: Jangan Ada Intimidasi Saksi.

Pemilu 2024 sudah tidak lagi mencerminkan Indonesia sebagai negara berdemokrasi. Banyak kecurangan yang didasari oleh pelanggaran etika kekuasaan.",,
Be - Ka,@Sutan_AdiL,2024-04-02T17:53:45.000Z,"Harus nya vid ini di tayang juga di gedung #MK biar semua lihat kalau pemilu kemarin itu demi kepentingan keluarga 
@jokowi
 bukan buat Rakyat dan Negara,..!",,1
Marlinah Lina,@lina_marli50273,2024-04-02T17:52:00.000Z,"Membalas 
@NoName49053911",,
Haudl Al Kautsar,@hani_titik,2024-04-02T17:51:58.000Z,Ada 10 mobil bawa uang cash untuk operasi politik 2 hari sebelum pemilu,1,4
Gelandangan pemilu,@Donie707,2024-04-02T17:51:58.000Z,"Membalas 
@aruna_bayu
 dan 
@tijabar",,
Gelandangan pemilu,@Donie707,2024-04-02T17:51:15.000Z,"Membalas 
@Little_secret9",,
Fine fine saja,@Septian87008134,2024-04-02T17:51:00.000Z,"Membalas 
@aewin86",,
*₱urwokert°_⅒*,@Arolumb1102,2024-04-02T17:50:42.000Z,"Membalas 
@AqiaqiH",,
ajayharau,@ajayharau,2024-04-02T17:49:47.000Z,"Membalas 
@zainalmusyaffak",,
Camat (CalonMayat),@kemiskliwon79,2024-04-02T17:49:25.000Z,"Membalas 
@Mdy_Asmara1701",,
