username,handle,postDate,responding,retweets,likes
deriskyafriza,@deriskyafriza,2024-05-12T14:56:11.000Z,"Pidato politik, AHY tegaskan perjuangkan upah layak dan buka lapangan pekerjaan.
gzr

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:56:08.000Z,"AHY pidato politik Indonesia maju rakyat sejahtera: People first!.
jgg

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:56:05.000Z,"AHY ingatkan perbedaan pilihan politik jangan sampai memecah belah bangsa.
ypu

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:54:32.000Z,"Sampaikan pidato politik, AHY paparkan strategi pemenangan partai Demokrat..
k\l

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:54:17.000Z,"AHY pidato politik Indonesia maju rakyat sejahtera: People First!!.
p\k

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
Amsiong41,@amsiong41,2024-05-12T14:54:09.000Z,"Membalas 
@HumorJonTampan",,
deriskyafriza,@deriskyafriza,2024-05-12T14:54:08.000Z,"Sampaikan pidato politik, AHY paparkan strategi pemenangan partai demokrat..
mei

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:54:02.000Z,"Pidato politik, AHY tegaskan perjuangkan upah layak dan buka banyak lapangan pekerjaan..
bfm

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:53:59.000Z,"AHY: Ketegangan politik jangan sampai memecah belah bangsa..
qw]

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:53:46.000Z,"Pidato Politik AHY, ""Indonesia Maju, Rakyat Sejahtera""..
h]]

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:53:38.000Z,"AHY ingatkan perbedaan pilihan politik jangan sampai memecah belah bangsa..
fqa

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:52:55.000Z,"Pidato politik, AHY bicara pentingnya investasi SDM untuk kemajuan bangsa..
_my

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:50:36.000Z,"AHY ingatkan perbedaan pilihan politik jangan sampai memecah belah bangsa.
_ds

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:49:53.000Z,"AHY ingatkan perbedaan pilihan politik jangan sampai memecah belah bangsa.
^lr

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
deriskyafriza,@deriskyafriza,2024-05-12T14:49:48.000Z,"Pidato politik, AHY tegaskan perjuangkan upah layak dan buka banyak lapangan pekerjaan.
a`n

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
AHMAD,@ahmad_reformasi,2024-05-12T14:49:32.000Z,"Membalas 
@harakahdailyHD",,
Ɓĥarata,@SuwandaBen,2024-05-12T14:48:59.000Z,"Membalas 
@ekokuntadhi1",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:45:35.000Z,"Jangan lupa saksikan Pidato Politik Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY), dengan Tema ""Indonesia Maju Rakyat Sejahtera"". Sabtu, 10 Februari 2024 Pukul: 19.30 WIB.
dvx

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:44:56.000Z,"Sampaikan pidato politik, AHY paparkan strategi pemenangan partai Demokrat.
sjy

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:44:51.000Z,"AHY pidato politik Indonesia maju rakyat sejahtera: People first!.
knd

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:44:48.000Z,"Pidato politik, AHY tegaskan perjuangkan upah layak dan buka banyak lapangan pekerjaan..
pcj

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:44:29.000Z,"Sampaikan pidato politik, AHY paparkan strategi pemenangan partai Demokrat..
k\l

PDemokrat
AgusYudhoyono
Demokrat Pro Rakyat",,
Suhel,@MrArchiDaily,2024-05-12T14:39:57.000Z,"Hahahahahahha..sape suruh ko lambat..
Ingat ada tittle setiausaha politik PM boleh dtg lambat ke ",1,1
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:39:24.000Z,"Pidato Politik AHY, ""Indonesia Maju, Rakyat Sejahtera""..
h]]

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Putra Pratama,@PutraPr83637344,2024-05-12T14:38:34.000Z,"Membalas 
@kompascom",,
Katjang Goering,@aminemisme,2024-05-12T14:37:44.000Z,"Membalas 
@mypolitiko",,1
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:37:41.000Z,"AHY ingatkan perbedaan pilihan politik jangan sampai memecah belah bangsa..
fqa

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Ɓĥarata,@SuwandaBen,2024-05-12T14:33:14.000Z,"Membalas 
@msaid_didu",,1
mod,@modkive,2024-05-12T14:32:56.000Z,"Kan bukan politik negara lain, kak? Ini genosida dan kejahatan kemanusiaan? Mereka donasi buat BLM dan agensi speak up, kenapa giliran Palestine agensi diem doang? Segitu banyak email dan hastag minta divest dari . Emang cara biar agensi ga tone deaf adalah dengan boikot.",,
Nebula,@_hobiberry,2024-05-12T14:32:35.000Z,"Membalas 
@saerozi63
 dan 
@CutSarina5",,1
M. Idris Iskandar,@MIdrisIskandar1,2024-05-12T14:32:02.000Z,"Membalas 
@adri_7i",,
Safrudin,@Safrudin_09,2024-05-12T14:31:09.000Z,"Membalas 
@filsafatmu",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:31:08.000Z,"Sampaikan pidato politik, AHY paparkan strategi pemenangan partai Demokrat.
w^_

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:31:01.000Z,"Pidato politik, AHY tegaskan perjuangkan upah layak dan buka banyak lapangan pekerjaan.
qd^

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
Eko Rahardian,@EkoRahardi14780,2024-05-12T14:30:52.000Z,"AHY ingatkan perbedaan pilihan politik jangan sampai memecah belah bangsa.
_ds

AgusYudhoyono
PDemokrat
Demokrat Pro Rakyat",,
ttAaa,@stacyvorteza,2024-05-12T14:26:56.000Z,"kangen prodi yg sebelumnya  mau belajar politik lg, kgn statistika sosial, kgn pengantar administrasi, kgn metopen, kgn makalah banyak tp dl nya cepet bgt, baca jurnal, baca file UU, mau visit ke dinas lagi.. YALLAHH INIKAH DEMOT SEMESTER 4??",,1
lokmanmohamad,@lokman_mohamad,2024-05-12T14:26:38.000Z,"Membalas 
@BadBoy2662",,
Hansip Ijo,@Hansip_Ijo_90,2024-05-12T14:23:44.000Z,"Membalas 
@BayuAngora",,
PNBusters,@ronal_zie,2024-05-12T14:23:39.000Z,"Membalas 
@BadBoy2662",,1
Jajum29,@NewJajum29,2024-05-12T14:23:27.000Z,"OPEN JOKI TUGAS
•makalah,ppt,essay,paper,motlet,CV,PKWU,prposal
•artikel/jurnal penelitian
•pidato,debat,berita,dll
•desain manual&digital
•b.indo,english,agama
•hukum,HI,ilkom,politik,filsafat,eko
•(request)
Testi On Pinned
http://wa.me/+6282113719701
Tampilkan lebih banyak",,
Fae,@fae_nan,2024-05-12T14:22:21.000Z,"Membalas 
@nazribiztalk
 dan 
@yapxiang",,1
xcKirenQns,@MissKirenkepo,2024-05-12T14:20:41.000Z,"Nmnya politik sdh membuat hati nurani kacau..MAKA ITU JGN SEKALI KALI PUNYA ANAK GENERASI JD POLITIK..KRN AKAN MLWN HATI NURANI.
APALAGI DINEGERI POLITIKNYA GK SEHAT.HRS MAKLUMI ITULA DUNIA MANUSIA.",,
David,@tigerwood158,2024-05-12T14:19:24.000Z,"Buah kurma dipetik beruang

Merpati lepas di tepi gerbang

Jangan terima politik uang

Korupsi semakin berkembang",,1
Pengarang Ilham,@ilhammazalan,2024-05-12T14:19:01.000Z,"SUBMISIF! 

This book selain romance dan serial killers it's 30% about intrig politik. I siap buat negara sendiri lagi siap ada scene revolusi rampasan kuasa apa semua

Tak keluar lagi la tapi hshshsh",,4
محمد اريف,@xboripx,2024-05-12T14:10:17.000Z,"Membalas 
@rskuntowiyoga",,
Yudhistira,@thisisyudhis,2024-05-12T14:10:17.000Z,"Civil War 

Kyk film zombie post-apocalypse tapi ganti zombie dengan tentara milisi, dgn background konflik politik internal AS. Gak terlalu berat, filmnya tetep sinematik dan fokusnya di psyche manusia ketika perang berlangsung. 

OST ada Silver Apples, Suicide 

8.3/10",1,1
Iryani,@nik_iryani,2024-05-12T14:10:04.000Z,Terbalik dengan diriku yang start dengan fiksyen berelemen politik. Sekarang nak santai-mantai je~,,
Fii Zii,@FiiZii2,2024-05-12T14:09:55.000Z,"Membalas 
@SquidGame510
 @donntask
 dan 
@bumilangit",,
@imanrady.es,@imanrady.es,2024-05-12T14:09:40.000Z,"Membalas 
@Miduk17",,
POLITIK AMOEBA 2024,@capres_2022,2024-05-12T14:09:12.000Z,"Membalas 
@romoatheist
 @zy_zy_its_me
  dan 9 lainnya",,
Universitas Brawijaya - Menfess!,@ub_mfs,2024-05-12T14:05:26.000Z,dumb question. yang ribet politik kampus ordal ordal bagi bagi kursi gitu cuman islam aja kah ges? yang nonis ada ga si?. sender cuman tau hmi jadi ngiranya yg berantem ordal ordal cuman islam aja (will be deleted kalau ada yg marah) braw!,1,2
edy sumanto,@edy_veno,2024-05-12T14:04:39.000Z,"Membalas 
@KikeHermawan",,
phy 313 | TTPD,@phyxxn,2024-05-12T14:04:14.000Z,"Membalas 
@phyxxn",,
HMJA PNJ,@hmja_pnj,2024-05-12T14:04:05.000Z,"Membalas 
@hmja_pnj",,
K 451 TO,@kasito17,2024-05-12T14:03:39.000Z,"Membalas 
@YRadianto",,
Mrs Safa,@Safa_Andriana,2024-05-12T14:03:18.000Z,"Membalas 
@BlueJeans_Hitam",,1
POLITIK AMOEBA 2024,@capres_2022,2024-05-12T14:02:26.000Z,"Membalas 
@CahAngo45022699",,
,@commonman_13,2024-05-12T14:02:05.000Z,"Membalas 
@hammyzel
 dan 
@jalilword",,
阿卡尼,@AqlAlqrn,2024-05-12T14:02:02.000Z,"Membalas 
@mhdilysa_
 dan 
@annazrulan",,1
jel!,@spilledesteh,2024-05-12T14:01:21.000Z,"Membalas 
@6126JPEG",,
Windy the Airbender,@windy__salto,2024-05-12T14:01:13.000Z,"Membalas 
@fireyamakaze",,
rangga hidayat,@rangga_hidayat,2024-05-12T13:53:16.000Z,"Membalas 
@rangga_hidayat",,
izan²⁴,@jerxsaturn,2024-05-12T13:53:08.000Z,"Membalas 
@aiyuesweer",,
detikcom,@detikcom,2024-05-12T13:53:00.000Z,"Direktur Eksekutif Indikator Politik, Burhanuddin Muhtadi berharap pansel yang dipilih Jokowi berintegritas demi perbaiki citra KPK.",,1
Melek Politik,@gilang_ahm31272,2024-05-12T13:52:31.000Z,"Membalas 
@AnnaYellowHeart
 dan 
@Resty_J_Cayah",,
Man of Culture,@everyoneislier,2024-05-12T13:52:06.000Z,"Membalas 
@furyoktria",1,
Dy,@cinnamonlivin,2024-05-12T13:52:02.000Z,Sikap politik tidak boleh berlandaskan pada perasaan karena ini akan mempertaruhkan kepentingan orang banyak. Rasional aja lah bro,,
Najib Bakar,@najib_bakar_,2024-05-12T13:46:43.000Z,"Membalas 
@najib_bakar_",,4
Najib Bakar,@najib_bakar_,2024-05-12T13:46:08.000Z,"Membalas 
@najib_bakar_",,5
muthi • lolos pil 1 utbk •,@withmuthii,2024-05-12T13:46:05.000Z,"Membalas 
@sameliazzhra",,
Asri-nomic (bukan Syahir-nomic),@AsriNomic,2024-05-12T13:45:56.000Z,"Membalas 
@RoninMalaya
 dan 
@chedetofficial",,
Melek Politik,@gilang_ahm31272,2024-05-12T13:45:32.000Z,"Membalas 
@AnnaYellowHeart
 dan 
@Resty_J_Cayah",,
dii,@udii_233,2024-05-12T13:45:18.000Z,"Membalas 
@TardjaRukmana
 @cutaklenge
 dan 
@KompasTV",,
