account_name,username,created_at,tweet,retweets,likes,text_clean,text_preprocessed,polarity_score,polarity
Dedek Prayudi - Uki,@Uki23,2024-04-02T20:34:50.000Z,"Salut sama pak 
@prabowo
 dan 
@Gerindra
. Mereka menang Pilpres tapi gak menang Pileg. Mereka gak minta pemilu diulang baik Pilpres maupun Pileg. Pak Ganjar dengan PDIP kalah Pilpres tapi menang Pileg. Minta Pilpres diulang tapi Pileg enggak. Lawak ",,,salut mereka menang pilpres tidak menang pileg mereka tidak pemilu diulang pilpres pileg pak ganjar pdip kalah pilpres menang pileg minta pilpres diulang pileg tidak lawak,"['salut', 'menang', 'pilpres', 'menang', 'pileg', 'milu', 'ulang', 'pilpres', 'pileg', 'ganjar', 'pdip', 'kalah', 'pilpres', 'menang', 'pileg', 'pilpres', 'ulang', 'pileg', 'lawak']",-5,negative
Lembayung Senja,@Lembayungsyahdu,2024-04-02T20:22:51.000Z,"Serangan ke Gaza memantul ke Turki?

Jurnalis Turki Ragıp Soulu mencatat dalam artikelnya hari ini bahwa hasil pemilu kemarin terutama disebabkan oleh keinginan kaum konservatif Turki untuk “menghukum” pemerintah karena kurangnya perlawanan terhadap Israel dan kegagalan…
Tampilkan lebih banyak",1.0,1.0,serangan gaza memantul turki jurnalis turki ragp soulu mencatat dalam artikelnya hasil pemilu disebabkan kaum konservatif turki menghukum pemerintah kurangnya perlawanan israel kegagalan tampilkan,"['serang', 'gaza', 'pantul', 'turki', 'jurnalis', 'turki', 'ragp', 'soulu', 'catat', 'artikel', 'hasil', 'milu', 'sebab', 'kaum', 'konservatif', 'turki', 'hukum', 'perintah', 'kurang', 'lawan', 'israel', 'gagal', 'tampil']",-16,negative
LIPUTAN6,@liputan6dotcom,2024-04-02T20:17:34.000Z,Menko Hadi Apresiasi TNI-Polri Berhasil Jaga Kondusifitas Selama Pemilu 2024 http://dlvr.it/T4zM12 #News,,,menko hadi apresiasi tnipolri berhasil jaga kondusifitas selama pemilu,"['menko', 'had', 'apresiasi', 'tnipolri', 'hasil', 'jaga', 'kondusifitas', 'milu']",2,positive
𝔹𝕝𝕒𝕟𝕜!,@blank0429,2024-04-02T19:58:53.000Z,"Sudah ada data BPS, BRIN & BMKG yg simpulkan Elnino reda namun 'Bantuan El-nino' tetap IKUTI JADWAL PEMILU

DITAMPAR lg fakta PASKA kampanye banyak Musibah di Jateng (Banjir akibat Tanggul jebol) tapi bansos ga kunjung tiba

Masih ngerasa Bansosnya tulus?
 https://youtu.be/nxdWgGrfpYw",7.0,8.0,sudah data bps brin bmkg simpulkan elnino reda bantuan elnino ikuti jadwal pemilu ditampar fakta paska kampanye musibah jateng banjir akibat tanggul jebol bansos ga kunjung masih ngerasa bansosnya tulus,"['data', 'bps', 'brin', 'bmkg', 'simpul', 'elnino', 'reda', 'bantu', 'elnino', 'ikut', 'jadwal', 'milu', 'tampar', 'fakta', 'paska', 'kampanye', 'musibah', 'jateng', 'banjir', 'akibat', 'tanggul', 'jebol', 'bansos', 'ga', 'kunjung', 'ngerasa', 'bansosnya', 'tulus']",-12,negative
Lembayung Senja,@Lembayungsyahdu,2024-04-02T19:58:22.000Z,"Tentang pemilu di Turki 

 Jurnalis Inggris-Turki Michael Serjan Daventry: “Selama bertahun-tahun diyakini bahwa hanya partai berhaluan tengah yang dapat merugikan AK Parti yang berkuasa. Mungkin kita sekarang menyaksikan pemilu yang pukulannya bukan dari pusat, tapi dari…
Tampilkan lebih banyak",,1.0,tentang pemilu turki jurnalis inggristurki michael serjan daventry selama bertahuntahun diyakini partai berhaluan merugikan ak parti berkuasa mungkin menyaksikan pemilu pukulannya bukan pusat tampilkan,"['milu', 'turki', 'jurnalis', 'inggristurki', 'michael', 'serjan', 'daventry', 'bertahuntahun', 'yakin', 'partai', 'haluan', 'rugi', 'ak', 'parti', 'kuasa', 'saksi', 'milu', 'pukul', 'pusat', 'tampil']",0,neutral
mooonnnaa,@cl0user,2024-04-02T19:42:31.000Z,bjrottt anak 16 tahun nyalahin gua pemilu milih a word,,,bjrottt anak nyalahin pemilu milih a word,"['bjrottt', 'anak', 'nyalahin', 'milu', 'milih', 'a', 'word']",-6,negative
pemburu ekor lele,@witawib,2024-04-02T19:36:57.000Z,KITA BANTAI DI PEMILU 2029  tapi akankah pemilu tetap hadir di tahun 2029  (the concern is concerning),,,kita bantai di pemilu pemilu hadir concern is concerning,"['bantai', 'milu', 'milu', 'hadir', 'concern', 'is', 'concerning']",-6,negative
𝗙𝗥𝗘𝗘𝗗𝗢𝗠𝗟𝗔𝗡𝗗 3131,@Freedomland3l3l,2024-04-02T19:23:27.000Z,"Pertemuan Capres Prabowo dan Xi Jinping tidak bisa dibilang resmi sebab Prabowo faktanya blom resmi dilantik oleh MPR/DPR dan masih dalam proses persidangan gugatan sengketa Pemilu, PHPU di MK, dimana kubu 02  bisa terancam di diskualifikasi.

Apa pun hasil perjanjiannya Prabowo…
Tampilkan lebih banyak",5.0,7.0,pertemuan capres prabowo xi jinping tidak dibilang resmi prabowo faktanya blom resmi dilantik mprdpr dalam proses persidangan gugatan sengketa pemilu phpu mk kubu terancam diskualifikasi apa hasil perjanjiannya prabowo tampilkan,"['temu', 'capres', 'prabowo', 'xi', 'jinping', 'bilang', 'resmi', 'prabowo', 'fakta', 'blom', 'resmi', 'lantik', 'mprdpr', 'proses', 'sidang', 'gugat', 'sengketa', 'milu', 'phpu', 'mk', 'kubu', 'ancam', 'diskualifikasi', 'hasil', 'janji', 'prabowo', 'tampil']",2,positive
Because I see,@cozisee,2024-04-02T19:18:56.000Z,"Justru kami merasa terhina dan dibodohi serta dicolok mata disiang hari saat ada orang yg mengatakan Pemilu berjalan wajar dan normal saat seorang Presiden terang2an mengaku cawe2 dan memang sangat terasa dan terlihat.
Benar2 menghina akal sehat. semoga Allah menangkan kebenaran.",1.0,,justru terhina dibodohi dicolok mata disiang pemilu berjalan wajar normal presiden terangan mengaku cawe memang benar menghina akal sehat semoga allah menangkan kebenaran,"['hina', 'bodoh', 'colok', 'mata', 'siang', 'milu', 'jalan', 'wajar', 'normal', 'presiden', 'terang', 'aku', 'cawe', 'hina', 'akal', 'sehat', 'moga', 'allah', 'menang', 'benar']",-5,negative
ERA.id,@eradotid,2024-04-02T19:06:01.000Z,"Disebut Menang Pemilu karena Bansos, Gibran: Dibuktikan Saja di MK",1.0,,disebut menang pemilu bansos gibran dibuktikan saja mk,"['menang', 'milu', 'bansos', 'gibran', 'bukti', 'mk']",-4,negative
