account_name,username,created_at,tweet,retweets,likes,cleaned_text,casefolded_text,tokenized_text,filtered_text,stemmed_text,processed_sentence,polarity
KawalPemilu,@KawalPemilu_org,2024-03-22T00:54:10.000Z,http://Kawalpemilu.org Desak UU Direvisi untuk Pemilu Selanjutnya - IDN Times,11,35,Desak UU Direvisi untuk Pemilu Selanjutnya  IDN Times,desak uu direvisi untuk pemilu selanjutnya  idn times,"['desak', 'uu', 'direvisi', 'untuk', 'pemilu', 'selanjutnya', 'idn', 'times']","['desak', 'uu', 'direvisi', 'pemilu', 'idn', 'times']","['desak', 'uu', 'revisi', 'milu', 'idn', 'times']",desak uu revisi milu idn times,Neutral
KawalPemilu,@KawalPemilu_org,2024-03-22T00:53:47.000Z,"Revisi UU Pemilu Mendesak, Realisasi Tergantung Pimpinan Parpol dan Pemerintah - http://Kompas.id",,4,Revisi UU Pemilu Mendesak Realisasi Tergantung Pimpinan Parpol dan Pemerintah,revisi uu pemilu mendesak realisasi tergantung pimpinan parpol dan pemerintah,"['revisi', 'uu', 'pemilu', 'mendesak', 'realisasi', 'tergantung', 'pimpinan', 'parpol', 'dan', 'pemerintah']","['revisi', 'uu', 'pemilu', 'mendesak', 'realisasi', 'tergantung', 'pimpinan', 'parpol', 'pemerintah']","['revisi', 'uu', 'milu', 'desak', 'realisasi', 'gantung', 'pimpin', 'parpol', 'perintah']",revisi uu milu desak realisasi gantung pimpin parpol perintah,Negative
KawalPemilu,@KawalPemilu_org,2024-03-20T12:33:54.000Z,"Membalas 
@Tati_versteeg72
 @faekri9449
 dan 
@ainunnajib",,1,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-20T12:16:53.000Z,"Membalas 
@Eni2345
 @Andi_Rubby
 dan 
@KPU_ID",,,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-20T07:33:05.000Z,"Membalas 
@Andi_Rubby",,,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-20T01:59:36.000Z,"Membalas 
@adjin_
 @Syawalianto
 dan 
@ainunnajib",,,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-20T01:57:27.000Z,"Membalas 
@faekri9449
 dan 
@ainunnajib",1,6,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-20T01:21:16.000Z,Rincian biaya operasional KawalPemilu dari hasil crowdfunding di KitaBisa  - selalu diupdate:,24,56,Rincian biaya operasional KawalPemilu dari hasil crowdfunding di KitaBisa   selalu diupdate,rincian biaya operasional kawalpemilu dari hasil crowdfunding di kitabisa   selalu diupdate,"['rincian', 'biaya', 'operasional', 'kawalpemilu', 'dari', 'hasil', 'crowdfunding', 'di', 'kitabisa', 'selalu', 'diupdate']","['rincian', 'biaya', 'operasional', 'kawalpemilu', 'hasil', 'crowdfunding', 'kitabisa', 'diupdate']","['rincian', 'biaya', 'operasional', 'kawalpemilu', 'hasil', 'crowdfunding', 'kitabisa', 'diupdate']",rincian biaya operasional kawalpemilu hasil crowdfunding kitabisa diupdate,Positive
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:58.000Z,"Membalas 
@KawalPemilu_org",6,52,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-15T07:54:23.000Z,"Membalas 
@hidungkebas
 dan 
@abuikhwanaziz",,,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-15T07:30:11.000Z,"Membalas 
@thehendrodong
 dan 
@mutiara_anie",,,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T21:04:36.000Z,"Membalas 
@hidungkebas",,2,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T14:45:38.000Z,"Membalas 
@DimsPrastyo
 dan 
@ainunnajib",,6,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T14:31:41.000Z,"Membalas 
@mutiara_anie",1,16,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T07:39:25.000Z,"*cek timeline* 
Teman-teman, silakan berdiskusi dan tidak masalah mention KP dalam diskusinya, tapi mohon jaga tulisan dan hindari ujaran kebencian apalagi yang bernuansa SARA ya di lapak kami. ",38,241,"cek timeline  Temanteman silakan berdiskusi dan tidak masalah mention KP dalam diskusinya tapi mohon jaga tulisan dan hindari ujaran kebencian apalagi yang bernuansa SARA ya di lapak kami","cek timeline  temanteman silakan berdiskusi dan tidak masalah mention kp dalam diskusinya tapi mohon jaga tulisan dan hindari ujaran kebencian apalagi yang bernuansa sara ya di lapak kami","['cek', 'timeline', 'temanteman', 'silakan', 'berdiskusi', 'dan', 'tidak', 'masalah', 'mention', 'kp', 'dalam', 'diskusinya', 'tapi', 'mohon', 'jaga', 'tulisan', 'dan', 'hindari', 'ujaran', 'kebencian', 'apalagi', 'yang', 'bernuansa', 'sara', 'ya', 'di', 'lapak', 'kami']","['cek', 'timeline', 'temanteman', 'silakan', 'berdiskusi', 'mention', 'kp', 'diskusinya', 'mohon', 'jaga', 'tulisan', 'hindari', 'ujaran', 'kebencian', 'bernuansa', 'sara', 'ya', 'lapak']","['cek', 'timeline', 'temanteman', 'sila', 'diskus', 'mention', 'kp', 'diskusi', 'mohon', 'jaga', 'tulis', 'hindar', 'ujar', 'benci', 'nuansa', 'sara', 'ya', 'lapak']",cek timeline temanteman sila diskus mention kp diskusi mohon jaga tulis hindar ujar benci nuansa sara ya lapak,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T02:39:10.000Z,"Membalas 
@IhsanFaiz26035
 @ThatSun510
  dan 2 lainnya",1,4,"Membalas  dan  lainnya","membalas  dan  lainnya","['membalas', 'dan', 'lainnya']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T02:16:51.000Z,"Membalas 
@edwardsuhadi",,1,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T02:00:05.000Z,"Selamat pagi. Terima kasih. Ini poin penting yg hanya diketahui oleh mereka yg turun tangan mengunggah foto C.Hasil & yg bekerja sbg moderator. Unggahan akan masuk ‘ruang tunggu’ untuk diverifikasi sblm disetujui tampil di web. Sesama moderator & masy jg bisa cek lg valid/tdk…
Tampilkan lebih banyak",27,137,"Selamat pagi Terima kasih Ini poin penting yg hanya diketahui oleh mereka yg turun tangan mengunggah foto CHasil  yg bekerja sbg moderator Unggahan akan masuk ruang tunggu untuk diverifikasi sblm disetujui tampil di web Sesama moderator  masy jg bisa cek lg validtdk Tampilkan lebih banyak","selamat pagi terima kasih ini poin penting yg hanya diketahui oleh mereka yg turun tangan mengunggah foto chasil  yg bekerja sbg moderator unggahan akan masuk ruang tunggu untuk diverifikasi sblm disetujui tampil di web sesama moderator  masy jg bisa cek lg validtdk tampilkan lebih banyak","['selamat', 'pagi', 'terima', 'kasih', 'ini', 'poin', 'penting', 'yg', 'hanya', 'diketahui', 'oleh', 'mereka', 'yg', 'turun', 'tangan', 'mengunggah', 'foto', 'chasil', 'yg', 'bekerja', 'sbg', 'moderator', 'unggahan', 'akan', 'masuk', 'ruang', 'tunggu', 'untuk', 'diverifikasi', 'sblm', 'disetujui', 'tampil', 'di', 'web', 'sesama', 'moderator', 'masy', 'jg', 'bisa', 'cek', 'lg', 'validtdk', 'tampilkan', 'lebih', 'banyak']","['selamat', 'pagi', 'terima', 'kasih', 'poin', 'yg', 'yg', 'turun', 'tangan', 'mengunggah', 'foto', 'chasil', 'yg', 'sbg', 'moderator', 'unggahan', 'masuk', 'ruang', 'tunggu', 'diverifikasi', 'sblm', 'disetujui', 'tampil', 'web', 'moderator', 'masy', 'jg', 'cek', 'lg', 'validtdk', 'tampilkan']","['selamat', 'pagi', 'terima', 'kasih', 'poin', 'yg', 'yg', 'turun', 'tangan', 'unggah', 'foto', 'chasil', 'yg', 'sbg', 'moderator', 'unggah', 'masuk', 'ruang', 'tunggu', 'verifikasi', 'sblm', 'tuju', 'tampil', 'web', 'moderator', 'masy', 'jg', 'cek', 'lg', 'validtdk', 'tampil']",selamat pagi terima kasih poin yg yg turun tangan unggah foto chasil yg sbg moderator unggah masuk ruang tunggu verifikasi sblm tuju tampil web moderator masy jg cek lg validtdk tampil,Positive
KawalPemilu,@KawalPemilu_org,2024-03-14T01:16:46.000Z,"Membalas 
@stockmapping",,3,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-14T00:11:57.000Z,"Membalas 
@Bagasta8
 dan 
@ainunnajib",,6,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T13:52:40.000Z,"Membalas 
@aalrizqi",,8,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T13:51:35.000Z,"Membalas 
@TopanTj",2,62,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T11:46:39.000Z,"Membalas 
@ainunnajib
 @YGels
  dan 3 lainnya",,4,"Membalas  dan  lainnya","membalas  dan  lainnya","['membalas', 'dan', 'lainnya']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T11:43:37.000Z,"Membalas 
@NenkMonica",,5,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T11:41:13.000Z,"Membalas 
@adiawae",,,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T10:58:10.000Z,"Membalas 
@ircham_aji",,14,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
