account_name,username,created_at,retweets,likes,text_clean,text_preprocessed,polarity_score,polarity
solichin jamaludin,@wakcis,2023-09-08T14:59:08.000Z,,,anies baswedan bilang pembangunan tak perlu otot demikian disampaikan anies menyindir kepala bp batam yg merupakan ketua nasdem kepri,"['anies', 'baswedan', 'bilang', 'bangun', 'otot', 'anies', 'sindir', 'kepala', 'bp', 'batam', 'yg', 'ketua', 'nasdem', 'kepri']",-7,negative
Kota-kota Indonesia: Pengantar untuk Orang Banyak,@mkusumawijaya,2023-09-08T14:58:16.000Z,,,hibahkan hotel untuk posko induk pemenangan mrr diresmikan anies  september  fokusatu,"['hibah', 'hotel', 'posko', 'induk', 'menang', 'mrr', 'resmi', 'anies', 'september', 'fokusatu']",6,positive
Rustan Sello,@Rustansello,2023-09-08T14:55:29.000Z,,,"ketika anies ingin memilih ahy sbg cawapres pihak nasdem menyebutkan anies berkhianat  pd bongkar fakta","['anies', 'pilih', 'ahy', 'sbg', 'cawapres', 'nasdem', 'anies', 'khianat', 'pd', 'bongkar', 'fakta']",-12,negative
Trousie,@cheapdoughnuts,2023-09-08T14:53:26.000Z,,,id go for pak anies moodboard,"['id', 'go', 'for', 'anies', 'moodboard']",0,neutral
𝓗𝓪𝓫𝓲𝓫𝓪𝓷𝓪𝓷𝓪™,@rizieqdivist,2023-09-08T14:50:56.000Z,,,"anies mbatin wah ente belum pernah ngerasain jurus andalan ane ya awas ntar ane khianati baru tau rasa ente","['anies', 'mbatin', 'ente', 'ngerasain', 'jurus', 'andal', 'ane', 'ya', 'awas', 'ntar', 'ane', 'khianat', 'tau', 'ente']",0,neutral
Bibin,@awestrucky,2023-09-08T14:50:13.000Z,,,tag yourself im pak anies,"['tag', 'yourself', 'im', 'anies']",0,neutral
Imperium,@sumpitmerah,2023-09-08T14:50:05.000Z,,,sumpit anies dan anas urbaningrum dijadwalkan berkunjung ke sumatera   msn merah,"['sumpit', 'anies', 'anas', 'urbaningrum', 'jadwal', 'kunjung', 'sumatera', 'msn', 'merah']",-2,negative
Bobby Darmanto,@BobbyDarmanto27,2023-09-08T14:49:23.000Z,,,"sekali bohong untuk menutupinya dengan bohong lagi jelas anies yang meminta bukan demokrat yang memaksa  pd bongkar fakta","['bohong', 'tutup', 'bohong', 'anies', 'demokrat', 'paksa', 'pd', 'bongkar', 'fakta']",-22,negative
abenk II,@bolangwebberII,2023-09-08T14:49:07.000Z,,,"pd masih bahas demokrat aje orang fans sakit hati anies ga bisa memenuhi semua keinginan kalianada yg pengen ahy ada yg nggak bukannye mikirin anies bisa gak daftar di kpu malah sibuk smpikiran sendiri keliatan pendukung anies ada yg abuanies ga jd nyapres banyak yg demen","['pd', 'bahas', 'demokrat', 'aje', 'orang', 'fans', 'sakit', 'hati', 'anies', 'ga', 'penuh', 'kalianada', 'yg', 'ken', 'ahy', 'yg', 'nggak', 'bukannye', 'mikirin', 'anies', 'gak', 'daftar', 'kpu', 'sibuk', 'smpikiran', 'liat', 'dukung', 'anies', 'yg', 'abuanies', 'ga', 'jd', 'nyapres', 'yg', 'demen']",-6,negative
OposisiCerdas.com,@OposisiCerdas,2023-09-08T14:49:04.000Z,1.0,,pkb usul koalisi pengusung aniesmuhaimin bernama pbnu bikin nahdliyin murka mereka selalu bawa nama dan simbol nu,"['pkb', 'usul', 'koalisi', 'usung', 'aniesmuhaimin', 'nama', 'pbnu', 'bikin', 'nahdliyin', 'murka', 'bawa', 'nama', 'simbol', 'nu']",-7,negative
"Ardhi Gatra Anggoro, S.E., Ak.",@Ardhi_Gatra,2023-09-08T14:48:56.000Z,,,"anies baswedan tidak konsisten dengan ucapannya bagaimana menjadi pemimpin nanti  pd bongkar fakta","['anies', 'baswedan', 'konsisten', 'ucap', 'pimpin', 'pd', 'bongkar', 'fakta']",-8,negative
Bobby Darmanto,@BobbyDarmanto27,2023-09-08T14:48:37.000Z,,,"tidak pernah memaksakan ahy tapi anies yg meminta ahy sejak awal ini ada buktinya semua mau ngeles apa lagi   pd bongkar fakta","['paksa', 'ahy', 'anies', 'yg', 'ahy', 'bukti', 'ngeles', 'pd', 'bongkar', 'fakta']",-16,negative
