username,handle,postDate,responding,retweets,likes
SoImRina,@RinaIsmail4,2023-09-29T02:12:28.000Z,"Replying to 
@brgsjks",,
Nur Asnida,@asnidanur98,2023-09-29T02:12:18.000Z,"Penat kot, sampai pukul 2 tak boleh tido. Tak tahu kenapa. Org kata sebab mengandung",,
n.,@nrnbtrisyia,2023-09-29T02:12:03.000Z,"Kembali lagi kita dalam rancangan, bila nak pukul 5",,
MC_Rohul,@mc_rohul,2023-09-29T02:11:43.000Z,"HADIRI DAN RAMAIKAN
Tabligh Akbar bersama Ustadz kondang  Ustadz DAS'AD LATIF
pada hari Kamis, 12 Oktober 2023
Pukul 09.00 WIB diHalaman Kantor Bupati Rokan Hulu

Ayo Ajak seluruh Keluarga dan Rekan Rekan anda untuk menyemarakkan HUT Rohul Ke 24 Tahun 2023.",,
gil,@pinkysses,2023-09-29T02:11:26.000Z,"Replying to 
@Bionniac",,
DATIN .,@kakpirah,2023-09-29T02:10:07.000Z,Kerja pukul 9 kene gerak sejam awal. Balik pukul 6 sampai rumah pukul 7. Kadang jumpa siput babi atas jalan jadi lagi lambat. Hahahahah kadang penat. Kadang tak bersyukur,,
Izzat Azwar,@IZZTAZWAR,2023-09-29T02:08:51.000Z,"Ready ya guys!

Malam ni pukul 9pm ada sesi class PERCUMA aku nak buat.

Topik: Persediaan bisnes & marketing tahun 2024.

Mark your calendar!",,2.0
Farhan Syafiq Fadhillah ,@FarhanSyafiqF,2023-09-29T02:08:31.000Z,"@CommuterLine
 min mau tanya. Misal saya naik Batara Kresna sampai Purwosari pukul 09.45 mau sambung KRL ke Palur pukul 09.53. Kira kira saya boleh minta bantuan petugas untuk scan qr dari dalam peron atau harus keluar dulu ya? Posisi bawa orang tua dan barang banyak. Terima kasih",,
Widia Sri Azani,@Wiwidazanii_,2023-09-29T02:06:50.000Z,"Replying to 
@fuoshiguro
 and 
@convomf",,
ella app premium & open joki,@cllabey,2023-09-29T02:06:14.000Z,"gelombang primer tercatat diseismik pada pukul 15.15'.25"" dan jarak episentrum tercatat 4750 km, maka waktu gelombang sekunder adalah? 
@chatgptchatgpt
 #ChatGPT",,
Yusuf_Mutaqin,@25YusufIM,2023-09-29T02:05:31.000Z,"Jumat, Pukul 09:04 wib Jl. Daan mogot KM 16 kedua arah Jakarta - Tangerang & Tangerang - Jakarta Macet Total 
@RadioElshinta",,
Syah Manzana Store,@syahmanzana,2023-09-29T02:03:58.000Z,"2 HARI FLASH SALE!!

Kejar penawaran eksklusif dari Syah Manzana Store hanya di 
@Tokopedia
. Diskon spesial sampai 30 September 2023 pukul 23.59 WIB! https://tokopedia.link/dJdDN56ltDb",,
fatin,@fatinnatiqah,2023-09-29T02:03:44.000Z,baru pukul 9 dah terlalu mengantuk ,,
fana,@lalloakitties,2023-09-29T02:03:20.000Z,knp esok start konsert pukul 9 kan dah takleh join sekali sbb lewat la balik i cannot balik lewat ,,
𐐪𐑂,@izzzatiii,2023-09-29T02:03:17.000Z,"Replying to 
@nuruliman_99",,
Polsek Kumai,@polsek_kumai,2023-09-29T01:57:20.000Z,"Pada hari Jumat Tanggal 29 September 2023 Pukul 09.00 Wib Polsek Kumai jajaran Polres Kobar Polda Kalteng adakan Jumat Curhat untuk menerima aspirasi dan masukan terhadap berbagai persoalan di Pondok pesantren Mambaul Hasan Lidda'wa Desa Sungai Tendang, Kec. Kumai, Kab. Kobar.",,
Satresnarkoba Polres Binjai,@Narkoba_Binjai,2023-09-29T01:56:56.000Z,"Jum'at tanggal 29 September 2023 Pukul 09.00 Wib. Personil Satresnarkoba Polres Binjai melaksanakan giat ""JUMAT CURHAT"" bersama warga di ""Warung Pajak Hongkong"" Jl. Kapten F.Tandean Kel. Pekan Binjai, Kec. Binjai Kota, Kota Binjai. #JumatBerkah",,
𖤍 Viola Abigail,@ningyyiez,2023-09-29T01:56:47.000Z,"Replying to 
@cuwtsie
 @Josngguk
 and 7 others",,
⋆,@LovedbyEros,2023-09-29T01:56:26.000Z,"Replying to 
@ssefnum",,
Muaqriana | مواقريانا,@UBMalaysia,2023-09-29T01:55:25.000Z,"Tanya seorang, pukul rata semua orang. Benci!

Ramai sangat aku tengok jalan kaki pergi kerja dari stesen pengangkutan awam.

Meskipun majlis/dewan kita gagal menyediakan prasarana asas seperti siar kaki yang bagi aku HAK ASASI setiap manusia.

Gunalah mereka sebagai contoh.",,1.0
FPRB SAMPANG,@FprbSampang,2023-09-29T01:50:58.000Z,"Assalamualaikum Wr. Wb 

Halo Sobat Tangguh.

 FPRB JATIM akan mengadakan Mubes IV 

Tanggal : 03 - 04 Oktober 2023
Lokasi : PP Assirojiyyah Sampang.

Pendaftaran ditutup tanggal 01 Oktober 2023, pukul 23.59
Pendaftaran melalui link di pamflet.
#MUBESIVFPRBJATIM",,
cheol lovetaker ⊹⁺ ✿,@sketchubook,2023-09-29T01:50:11.000Z,padahal he's so fuceking hout pls lah? yang angy w pukul lu.,,
Yuva Mega Pratiwi,@yumepra,2023-09-29T01:49:45.000Z,"Mohon bantuannya warga twitter. 
Telah dicuri 2 motor vario 125 dan vario 150 di daerah Kebon Jeruk, Jakbar tadi pagi sekitar pukul 04.45 WIB. Terlihat dr cctv, pencurinya ada 4 orang yg salah satunya sudah terindentifikasi nopolnya. 
@jktinfo_id
 @txtjakarta
 @polresjakbar",,
Teras Jakarta,@terasjakartaid,2023-09-29T01:48:04.000Z,"Rekomendasi event Jakarta, Imagispace Plaza Senayan, Pameran Seni Estetik dan Instagramable. Mulai pukul 12.00 WIB hingga 19.00 WIB pada hari biasa.",,
manda,@uwuwuiu_,2023-09-29T01:47:43.000Z,"WTS want to sell

Tiket IU Concert : The Golden Hour 
CGV Grand Indonesia (GI),  STARIUM

Sabtu, 30 September 2023 pukul 17.00 WIB

2 seats (J19 J20) for Rp 200.000 (jual rugi)

Dijual karna pindah lokasi 

#IU WTS IU INA",,
yanto kopling (taylor's version),@kwonosshi,2023-09-29T01:44:29.000Z,Tolong pukul dia se-RT sekalian se-RW gpp,,
nik #GraciasAguero,@shinsunik,2023-09-29T01:43:50.000Z,"Replying to 
@shinsunik",1.0,
이 HWAN.,@egh_ksunwoo,2023-09-29T01:43:49.000Z,"Replying to 
@egh_ksunwoo",,
MercyOktyasari,@MercyOktyasari,2023-09-29T01:43:29.000Z,"Replying to 
@sisthaaaaa",,
nik #GraciasAguero,@shinsunik,2023-09-29T01:42:46.000Z,DONEEEE. Dah la present orang pertama pukul 9 tapi kul 9 baru siap tableau ,,
CNN Indonesia Daily,@CNNIDdaily,2023-09-29T01:42:18.000Z,"Replying to 
@ppurpleino",,
djpl_disnavkupang,@disnav_kupang,2023-09-29T01:36:06.000Z,"Berikut disampaikan Prakiraan Cuaca Wilayah Pelayaran dan Peringatan Dini Gelombang di Perairan Nusa Tenggara Timur wilayah kerja Distrik Navigasi Tipe A Kelas II Kupang
----

Berlaku Mulai 29 September 2023 pukul 08.00 WITA s/d pukul 20.00 WITA

*Sumber - BMKG Tenau *",,1.0
