username,handle,postDate,responding,retweets,likes
Si_Boncel,@Si_Palui12,2023-09-18T00:03:48.000Z,"Replying to 
@Juhari02168742
 @hincapandjaitan
 and 5 others",,
andimuchlis,@pettasewa1,2023-09-17T23:21:41.000Z,"Replying to 
@MahaD3w4",,
Gorengan Pisang,@GorenganPisang6,2023-09-17T23:08:40.000Z,"Replying to 
@OposisiCerdas",,1.0
Juhari,@Juhari02168742,2023-09-17T22:19:19.000Z,"Replying to 
@hincapandjaitan
 @PDemokrat
 and 4 others",4.0,51.0
Hayet,@Hayet34187281,2023-09-17T22:15:11.000Z,"Replying to 
@fadlizon
 @PDemokrat
 and 2 others",,2.0
Pus Meong,@budi_tatik23684,2023-09-17T22:02:50.000Z,"Replying to 
@fadlizon
 @SBYudhoyono
 and 
@prabowo",,3.0
Master,@Master64011220,2023-09-17T22:01:26.000Z,"Replying to 
@hincapandjaitan
 @PDemokrat
 and 4 others",,
abangnya pitung,@LagiPitung,2023-09-17T21:36:18.000Z,"Replying to 
@aniesbaswedan
 @PKSejahtera
 and 2 others",,
Abu Ismail,@sbr1310,2023-09-17T20:54:07.000Z,"Replying to 
@hincapandjaitan
 @PDemokrat
 and 4 others",,
Kenikir08,@Kenikir27,2023-09-17T20:43:25.000Z,"Replying to 
@makelarcapres
 @Jhonkosmik
 and 2 others",,
Arsyakayla,@Arsyakayla18135,2023-09-17T19:39:27.000Z,"Replying to 
@ganjarpranowo",,
Elmira,@Elmirakid,2023-09-17T19:07:47.000Z,"Replying to 
@99propaganda
 and 
@prabowo",,
Dororo,@Dororo181864727,2023-09-17T18:49:19.000Z,"Replying to 
@don_muzakir_",,
A S,@dhimasairlangg1,2023-09-17T17:18:57.000Z,"Replying to 
@hincapandjaitan
 @PDemokrat
 and 4 others",,
Jagungmanis,@bonicaaku,2023-09-17T17:12:35.000Z,"Replying to 
@ganjarpranowo",,
Leo Andalusia,@AndalusiaLeo,2023-09-17T16:58:36.000Z,"Replying to 
@wahyudifebri31
 @yunartowijaya
 and 
@prabowo",,
radeniman,@radeniman34,2023-09-17T16:57:57.000Z,"Replying to 
@ganjarpranowo",,
