username,handle,postDate,responding,retweets,likes
KawalPemilu,@KawalPemilu_org,2024-03-22T00:54:10.000Z,http://Kawalpemilu.org Desak UU Direvisi untuk Pemilu Selanjutnya - IDN Times,11,35
KawalPemilu,@KawalPemilu_org,2024-03-22T00:53:47.000Z,"Revisi UU Pemilu Mendesak, Realisasi Tergantung Pimpinan Parpol dan Pemerintah - http://Kompas.id",,4
KawalPemilu,@KawalPemilu_org,2024-03-20T12:33:54.000Z,"Membalas 
@Tati_versteeg72
 @faekri9449
 dan 
@ainunnajib",,1
KawalPemilu,@KawalPemilu_org,2024-03-20T12:16:53.000Z,"Membalas 
@Eni2345
 @Andi_Rubby
 dan 
@KPU_ID",,
KawalPemilu,@KawalPemilu_org,2024-03-20T11:50:52.000Z,"Membalas 
@Eni2345
 @Andi_Rubby
 dan 
@KPU_ID",,2
KawalPemilu,@KawalPemilu_org,2024-03-20T11:49:56.000Z,"Membalas 
@Tati_versteeg72
 @faekri9449
 dan 
@ainunnajib",,
KawalPemilu,@KawalPemilu_org,2024-03-20T07:33:05.000Z,"Membalas 
@Andi_Rubby",,
KawalPemilu,@KawalPemilu_org,2024-03-20T01:59:36.000Z,"Membalas 
@adjin_
 @Syawalianto
 dan 
@ainunnajib",,
KawalPemilu,@KawalPemilu_org,2024-03-20T01:57:27.000Z,"Membalas 
@faekri9449
 dan 
@ainunnajib",1,6
KawalPemilu,@KawalPemilu_org,2024-03-20T01:21:16.000Z,Rincian biaya operasional KawalPemilu dari hasil crowdfunding di KitaBisa  - selalu diupdate:,24,56
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:58.000Z,"Membalas 
@KawalPemilu_org",6,52
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:57.000Z,"Membalas 
@KawalPemilu_org",7,48
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:56.000Z,"Membalas 
@KawalPemilu_org",7,56
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:55.000Z,"Membalas 
@KawalPemilu_org",6,49
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:54.000Z,"Membalas 
@KawalPemilu_org",9,64
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:54.000Z,"Membalas 
@KawalPemilu_org",12,69
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:53.000Z,"Membalas 
@KawalPemilu_org",17,104
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:52.000Z,"Membalas 
@KawalPemilu_org",10,74
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:51.000Z,"Membalas 
@KawalPemilu_org",6,78
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:50.000Z,"Membalas 
@KawalPemilu_org",11,81
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:50.000Z,"Membalas 
@KawalPemilu_org",6,69
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:49.000Z,"Membalas 
@KawalPemilu_org",7,96
KawalPemilu,@KawalPemilu_org,2024-03-19T12:33:48.000Z,"Membalas 
@KawalPemilu_org",9,84
