username,handle,postDate,responding,retweets,likes
,@risma_alma,2023-09-26T20:54:53.000Z,Jam segini keliaran nyari Gudeng Bromo :) Emang ya panggilan perut ga bisa diganggu gugat !!,,1
Kushala,@Re_startboys,2023-09-26T20:41:58.000Z,"Replying to 
@ddisgracee
 and 
@memelord_666666",,
Darth Phoenix,@PatrickDeRaaff,2023-09-26T20:00:01.000Z,"Mount Bromo, Indonesia. #travelpics
#voorstrakslekkerslapen #morgengezondweerop",,
Sigit Setya,@Sigitsb_,2023-09-26T18:12:47.000Z,"Replying to 
@sosohohaaaa",,
araaaa,@fairyyoo_n,2023-09-26T17:55:04.000Z,"Replying to 
@fairyyoo_n",,
Kim Shin ⚘,@bigwin_cinta,2023-09-26T16:52:15.000Z,"Replying to 
@memelord_666666",,
abcdefghijohn_pantau,@Abcdefghijohnp,2023-09-26T16:43:05.000Z,"Replying to 
@MassGemss",,
Roqi Ahh,@roqi_ahh,2023-09-26T16:28:23.000Z,"Ajak Moana, Ria Ricis Datangi Lokasi Kebakaran Gunung Bromo",,
Argo Bromo,@ArgoBro68328581,2023-09-26T16:07:40.000Z,"Replying to 
@susterjanda",,
𝐊.,@al_thabby,2023-09-26T15:44:09.000Z,"Replying to 
@helmpinkskuy_
 and 
@sbyfess",,
Hanz 𝕏,@DSetyopribadi,2023-09-26T15:32:53.000Z,"Replying to 
@memelord_666666",,
ist,@skydaynite,2023-09-26T14:50:01.000Z,W bingung dah ni dosen2 kok pada mau ke bromo bukannya masih ditutup yah,,
Kompas Travel,@KompasTravel,2023-09-26T14:45:06.000Z,"Hotel di Kota Malang mencatat kenaikan tingkat okupansi dan lama menginap para tamu, meski awalnya sempat terdampak penutupan Gunung Bromo.",1,1
ajay,@medjayy_,2023-09-26T14:37:43.000Z,"Replying to 
@ddisgracee
 and 
@memelord_666666",,1
Surya Maha Putra,@suryampe,2023-09-26T14:33:34.000Z,"Replying to 
@PartaiSocmed",,
Paman Gondrong,@vonninar,2023-09-26T14:33:02.000Z,"Langsir half day. 

Bromo yuk!",,
Sasa Miharja,@apaantoeh,2023-09-26T14:16:32.000Z,"Replying to 
@efwebesofficial",,
WonkJaKedoya,@wonk_cdy87,2023-09-26T13:57:09.000Z,"Replying to 
@Kangjaill",,
Manta,@MantraMantaa,2023-09-26T13:56:28.000Z,"Replying to 
@memelord_666666",,9
informasi selebriti,@1nserttranstv,2023-09-26T13:45:00.000Z,"Ria Ricis datangi lokasi kebakaran Gunung Bromo bersama Moana, perlihatkan lokasi yang menghitam gegara terbakar api.",,
Shahira,@shahiramjohari,2023-09-26T12:51:39.000Z,Lah baru perasan bali ngan bromo je tukar gambar lain lupa bahahha,,
JELITA.,@RUPAJELlTA,2023-09-26T12:49:10.000Z,"Replying to 
@RUPAJELlTA",,
JELITA.,@RUPAJELlTA,2023-09-26T12:32:04.000Z,"Replying to 
@RUPAJELlTA",,
"love, Sera. ♡",@GracefulLiIy,2023-09-26T12:29:26.000Z,"Replying to 
@GracefulLiIy",,
detikTravel,@detikTravel,2023-09-26T12:27:11.000Z,"Kerugian Akibat Kebakaran Gunung Bromo Mencapai Rp 89, 76 Miliar",,
